rainfall_mm,rolling_rainfall_24h,rolling_rainfall_72h,soil_moisture_pct,slope_angle_deg,elevation_m,avg_neighbor_risk,landslide_occurred
95.46,113.64,176.97,46.66,10.95,1031.91,25.47,0
63.02,99.21,142.83,47.45,36.58,400.77,18.56,1
58.88,77.48,188.99,30.83,5.17,1866.34,13.27,1
58.88,112.83,247.1,58.67,10.16,985.37,14.44,0
173.49,192.38,249.49,62.94,21.49,294.31,28.61,1
112.13,139.95,368.71,72.9,8.93,1182.26,36.79,1
49.49,136.34,318.22,42.86,44.76,1412.33,45.88,0
98.16,190.7,229.02,48.92,45.61,687.39,51.45,1
81.37,171.95,194.57,43.26,40.51,1710.66,32.05,1
12.62,52.6,125.85,34.55,16.4,1456.06,26.36,0
31.73,58.03,153.77,43.38,29.59,1418.17,39.77,0
85.21,145.22,372.12,59.47,13.66,970.61,44.21,1
163.82,183.08,405.73,42.69,18.22,2025.73,38.61,0
59.23,129.75,249.0,66.51,29.25,684.67,19.22,1
46.72,71.01,135.17,48.52,39.55,1276.53,38.52,0
74.69,109.68,265.3,59.66,9.45,752.66,24.56,0
44.72,116.33,204.19,48.12,18.94,1602.37,18.85,1
56.48,62.68,95.39,29.16,48.55,243.19,31.83,0
68.7,93.9,127.52,45.09,25.17,239.49,36.14,1
30.49,85.29,149.71,36.38,49.13,1731.18,31.61,0
115.74,179.26,320.49,64.29,51.6,996.82,58.74,1
26.26,82.63,123.25,34.32,29.75,815.3,28.84,0
23.7,58.35,122.68,33.17,18.54,1334.68,17.47,0
79.03,155.69,336.69,63.37,42.17,1518.7,55.71,1
110.26,127.87,230.3,45.31,12.49,542.34,37.82,0
77.72,94.63,204.11,34.16,16.85,511.59,23.05,0
64.03,118.43,262.57,53.15,41.89,2018.39,42.88,1
56.1,71.89,137.06,45.62,25.38,1299.85,30.48,1
49.82,175.24,363.13,56.45,14.47,910.73,43.26,0
132.0,157.83,279.13,45.88,35.6,1712.81,41.28,1
85.75,161.43,237.42,49.52,39.44,1174.06,39.03,1
52.73,65.98,234.21,49.92,10.88,621.24,6.35,0
42.09,150.39,268.64,46.1,18.02,553.13,24.73,0
102.32,144.45,225.14,55.33,15.4,923.88,17.01,1
130.12,155.35,266.7,41.86,22.85,1826.8,39.19,1
123.1,155.84,202.21,43.02,40.88,269.82,37.74,1
36.84,58.7,214.63,41.5,38.54,576.13,36.96,0
55.76,90.68,315.42,43.82,36.14,1891.65,45.27,1
49.12,63.18,89.35,31.57,5.3,387.38,5.0,0
60.95,86.88,143.57,50.37,11.68,1377.77,30.2,0
115.08,189.76,243.41,49.81,15.49,566.35,37.94,1
154.84,203.64,329.34,58.99,17.78,1331.44,48.31,0
87.8,105.08,197.91,46.76,11.88,897.05,27.44,1
43.17,79.05,141.38,35.25,24.28,348.27,24.94,1
67.66,160.91,229.37,52.25,8.53,1285.83,35.24,0
172.23,200.75,259.47,58.57,40.25,1481.93,38.16,1
73.51,89.14,205.94,54.53,42.02,1476.53,33.69,1
56.18,118.06,209.99,53.39,31.99,1392.22,30.13,0
59.49,63.02,129.42,36.15,9.22,1125.44,19.42,0
87.55,120.89,180.29,53.53,46.83,1162.97,35.52,1
37.8,136.58,306.46,52.16,50.38,1389.5,51.97,1
48.28,83.36,237.06,50.28,14.51,1496.01,13.67,0
122.01,201.85,319.43,65.67,38.12,1427.01,50.68,1
86.0,101.42,245.98,68.44,44.57,1294.54,33.05,1
74.01,108.01,140.96,43.8,30.37,453.89,21.34,0
125.7,157.19,197.55,57.68,20.2,560.7,36.67,0
41.24,100.78,138.12,30.68,27.49,657.44,36.3,0
55.02,98.91,181.11,46.83,29.08,1943.34,34.02,0
84.24,191.92,339.18,46.24,23.83,1630.82,41.94,1
82.37,109.59,172.49,29.9,48.7,1228.09,37.91,0
21.75,65.25,224.03,44.78,39.96,641.51,34.6,1
51.35,83.8,140.41,27.61,16.34,366.24,17.44,0
62.01,103.14,178.57,33.97,32.52,1902.58,20.8,0
90.16,128.5,190.94,57.57,37.37,1890.7,38.76,1
82.19,101.27,173.18,37.42,11.59,365.86,20.33,0
65.89,137.76,214.56,38.19,21.85,1704.57,21.73,0
12.54,36.17,58.25,33.27,47.56,1020.96,45.45,0
68.09,90.3,191.06,43.06,31.66,781.74,38.18,1
72.21,81.26,156.97,52.01,15.2,1591.25,26.43,0
262.11,288.69,476.34,73.1,10.77,1347.94,38.29,0
60.66,84.03,198.29,43.09,29.36,1671.06,32.47,0
84.53,89.11,187.32,55.2,30.74,294.94,37.51,0
138.3,173.1,354.52,59.9,20.72,771.24,40.24,1
111.12,215.62,386.82,62.37,34.63,772.67,62.6,1
158.62,169.56,361.92,67.74,8.23,793.02,30.45,1
22.05,62.61,121.48,33.65,11.82,1129.84,12.17,0
32.36,66.51,103.2,24.67,30.67,701.88,31.22,0
45.93,111.27,133.45,26.36,7.91,1016.55,5.0,0
18.94,87.68,231.12,48.76,46.4,867.17,52.57,0
72.61,229.7,249.12,35.33,11.68,1583.83,15.29,0
34.42,84.54,177.28,44.7,36.67,1326.83,40.41,1
170.96,191.73,219.61,61.72,23.39,1424.58,25.32,1
38.6,64.55,219.91,46.45,23.79,560.64,34.58,0
55.24,83.47,192.52,37.68,40.95,784.73,46.27,1
115.15,139.34,294.2,56.29,28.47,191.27,40.38,1
26.02,147.85,241.77,36.98,39.11,361.33,32.0,0
17.83,84.3,127.81,45.95,28.74,666.86,19.66,0
78.4,137.57,198.97,46.16,32.87,277.65,28.81,0
82.31,98.36,233.74,41.68,40.75,1325.13,26.82,1
113.06,181.33,207.35,57.32,33.54,2096.35,44.7,1
96.94,185.46,243.71,41.27,33.93,346.59,39.52,1
84.28,118.92,171.97,59.51,42.09,1751.4,29.07,1
41.98,67.68,145.12,29.07,49.61,381.69,52.29,1
80.86,190.32,306.79,49.15,22.71,1456.33,31.02,1
84.07,107.0,259.62,43.6,32.12,1404.16,40.75,0
40.84,61.73,93.12,14.57,9.05,1910.3,5.81,0
199.58,217.49,263.04,66.74,21.86,372.19,16.7,1
94.13,133.19,167.27,56.4,24.37,765.12,16.25,0
32.81,82.83,162.17,48.38,44.26,327.02,35.13,1
113.41,193.94,231.04,42.95,29.13,944.4,41.99,1
125.33,186.42,286.72,48.06,39.36,1927.61,47.89,1
90.65,151.05,315.48,50.58,5.89,1673.97,28.32,1
58.41,156.12,178.91,38.92,26.83,1559.66,13.44,0
39.55,56.68,103.32,41.91,47.36,1189.4,46.33,0
65.76,76.03,269.53,52.26,15.54,1872.8,31.33,0
86.68,149.89,241.11,33.39,6.48,1026.41,21.02,0
69.95,107.6,166.5,48.9,25.37,441.89,36.77,0
162.81,243.54,550.23,77.94,38.11,1783.29,74.11,1
103.18,143.61,211.9,49.26,26.36,695.29,40.95,1
36.29,61.24,175.07,34.32,26.62,254.59,27.12,0
30.14,94.0,142.02,35.93,36.48,395.77,24.51,0
94.63,138.98,181.42,51.71,16.96,1337.66,31.69,0
59.33,99.79,217.52,44.04,40.34,1333.81,29.6,0
108.7,284.75,488.14,57.97,12.2,657.36,59.51,0
94.1,186.87,247.43,56.18,23.6,1568.0,32.94,0
65.96,135.58,175.88,49.14,35.83,1658.6,26.2,0
36.61,81.99,224.03,48.84,43.93,1944.98,33.31,0
19.66,62.18,123.13,28.26,42.2,1290.63,24.33,0
79.91,112.53,213.64,62.45,38.92,1669.88,40.5,1
25.65,74.49,133.9,24.61,21.88,1618.54,23.12,0
35.48,63.28,129.16,47.46,10.75,652.73,6.25,0
76.83,90.7,136.09,58.02,15.19,754.94,16.47,0
72.11,112.19,231.75,53.24,45.65,1083.04,33.83,1
28.23,80.01,182.88,56.6,45.29,187.13,45.61,0
133.88,214.74,315.51,59.44,49.72,729.93,53.06,1
131.76,152.76,204.13,36.59,8.57,1074.07,17.43,0
96.53,139.31,236.95,44.76,30.23,360.74,25.6,1
96.46,157.22,376.11,48.31,35.49,396.24,47.1,1
96.53,156.34,196.83,32.93,38.4,1053.31,34.48,0
124.68,242.53,290.79,60.62,35.26,1575.38,45.51,1
104.76,137.89,187.9,35.5,41.19,1775.81,40.14,1
38.93,58.39,144.93,50.47,21.9,1215.31,30.34,0
58.77,103.67,142.08,33.53,13.43,1075.76,14.84,0
245.49,280.0,389.14,69.81,14.62,899.35,23.07,0
13.33,43.19,64.07,43.99,5.56,526.25,16.07,0
49.4,76.08,204.03,34.52,21.47,435.8,20.69,0
134.31,186.24,285.94,55.37,9.31,1694.2,18.18,0
40.8,64.47,280.55,51.51,20.11,1056.76,32.76,0
106.52,176.1,217.91,46.18,34.53,1691.12,39.48,0
71.5,138.84,284.13,53.02,47.04,1522.96,45.29,1
42.95,98.28,174.13,38.79,44.46,528.1,35.43,0
11.0,28.11,94.95,41.94,16.88,1145.1,14.12,0
78.49,128.74,169.16,51.24,11.3,1015.83,30.8,0
38.3,122.81,182.77,39.05,14.07,976.55,22.13,0
64.07,137.1,198.81,56.73,50.64,1208.01,37.55,0
95.94,162.11,190.14,34.56,30.83,2065.06,25.09,0
118.63,160.93,260.0,56.36,13.58,1735.16,25.64,0
49.28,90.17,181.72,57.46,44.52,1912.24,42.24,0
42.89,136.66,250.22,62.29,23.57,207.8,36.78,0
25.29,76.63,131.65,50.21,47.26,423.66,39.23,0
122.18,173.98,304.73,47.32,17.25,315.29,26.47,0
225.03,433.88,603.24,90.01,23.48,663.3,55.94,1
130.22,162.78,232.83,47.15,28.73,1011.69,40.57,1
147.77,151.83,194.22,49.23,46.95,1402.0,33.57,1
41.06,77.47,161.33,37.16,45.83,1126.62,35.87,0
92.41,130.48,212.02,52.02,31.99,1911.21,39.88,0
112.6,163.39,235.72,52.56,15.42,1982.72,33.94,0
1.3,60.72,174.43,46.52,23.96,468.87,25.91,0
31.41,36.51,101.33,13.28,50.85,1813.18,34.82,0
178.15,238.42,278.52,57.36,33.57,1089.36,30.45,1
21.43,61.27,149.8,51.02,41.71,1033.99,40.47,0
161.79,195.54,312.44,61.74,26.14,1680.63,49.67,1
21.31,29.78,152.27,40.48,30.0,331.62,49.94,0
32.62,139.41,201.58,49.87,25.16,1870.86,33.31,0
93.46,123.0,219.11,37.75,38.04,1458.18,38.85,0
72.67,139.45,311.45,52.98,45.02,1856.76,43.01,1
52.72,73.45,244.62,40.13,28.85,2089.23,20.62,0
174.08,226.48,374.17,45.7,27.6,1160.11,46.04,1
25.85,60.02,86.72,20.83,20.99,331.86,37.9,0
62.43,127.81,193.0,37.04,13.32,474.72,32.64,0
100.9,134.18,299.07,42.78,49.14,781.06,60.85,1
83.43,103.33,129.91,55.45,19.86,351.93,23.62,1
43.94,85.16,162.74,39.4,42.63,1739.92,40.66,0
45.11,84.79,139.23,41.29,38.62,728.89,14.23,0
117.55,167.49,264.83,58.57,42.17,2052.98,51.27,1
120.93,200.07,215.56,56.26,49.03,1520.05,40.95,1
84.84,100.96,256.99,66.31,34.3,488.19,34.24,1
37.16,113.62,193.51,31.81,47.2,1078.28,40.25,1
46.15,60.06,98.33,36.29,12.88,1060.42,12.25,0
68.35,132.02,181.56,59.13,34.46,1110.4,28.55,1
75.01,140.05,239.39,46.36,41.3,1194.6,42.84,1
98.43,126.73,173.74,32.22,17.77,210.79,19.22,0
60.24,81.9,281.59,39.12,39.82,1488.29,45.81,0
115.93,136.62,210.9,30.5,41.59,1100.02,28.87,1
115.14,159.3,338.78,70.48,44.07,1692.38,50.14,1
150.8,218.74,307.36,52.99,19.71,1739.93,26.1,0
70.33,107.59,227.13,58.15,37.04,599.54,34.12,1
85.75,89.24,204.68,64.92,19.3,244.42,28.08,1
63.38,90.19,149.1,47.98,39.73,1521.31,22.19,1
37.49,63.53,183.93,27.9,26.76,2056.64,23.27,0
221.97,281.1,343.33,53.97,33.08,1020.98,50.15,0
139.44,200.7,225.42,48.09,24.54,656.24,20.33,0
113.71,160.37,230.63,52.51,12.61,455.51,39.09,0
68.76,145.32,179.81,49.11,13.37,710.52,31.14,0
35.08,115.48,176.35,40.63,8.65,789.44,14.46,0
126.15,154.27,232.57,59.41,34.05,976.56,31.57,1
62.63,82.92,126.2,41.26,44.89,1428.04,38.01,0
90.66,129.92,240.54,53.92,5.98,682.67,10.05,0
46.03,92.62,154.39,48.48,8.11,249.4,5.0,0
81.52,108.51,142.27,30.92,26.5,877.89,22.9,0
48.09,288.85,332.6,41.53,39.67,1818.48,47.68,1
49.43,152.21,237.61,37.53,12.41,1121.79,26.02,0
80.85,105.81,174.18,38.77,17.77,2031.33,18.81,0
21.05,37.8,132.98,34.68,15.9,1132.06,29.71,0
21.92,45.24,131.0,40.61,23.76,688.0,12.12,0
40.7,122.06,163.08,39.12,15.57,526.96,12.47,0
59.76,142.43,196.02,55.39,21.57,1504.32,31.54,0
118.09,221.69,351.83,49.78,39.24,1195.94,40.64,1
62.07,81.84,127.67,40.08,33.72,1327.8,20.2,0
68.46,127.43,309.3,39.9,8.82,1622.5,29.47,0
56.61,78.0,106.65,32.03,34.97,1565.51,20.56,1
85.67,203.86,331.59,51.96,27.42,234.56,40.26,1
37.21,57.58,132.59,56.18,48.92,1715.02,33.7,0
64.34,77.74,118.94,35.78,18.6,1188.77,13.19,0
90.03,105.92,189.88,26.93,39.13,913.83,20.9,0
80.43,121.78,168.64,42.84,39.35,1198.16,37.37,0
69.93,137.22,193.08,29.61,15.41,1344.28,13.75,0
70.49,134.84,197.57,32.66,47.45,441.54,41.94,0
95.54,112.06,234.07,57.04,28.09,963.96,30.31,1
228.24,258.99,312.08,41.52,36.91,804.39,43.9,1
39.11,66.71,158.51,31.26,11.86,833.3,17.8,0
232.08,246.51,371.22,68.92,17.12,328.1,39.66,1
37.8,64.88,147.48,37.28,32.55,461.69,24.77,0
9.69,110.44,210.61,28.28,19.99,465.57,37.73,0
47.4,60.02,138.05,53.97,28.49,877.79,12.67,0
86.71,135.58,244.86,45.96,22.58,1894.26,30.1,0
200.57,302.83,335.9,64.94,35.11,551.75,52.95,1
35.04,133.91,306.7,51.34,27.9,961.58,43.55,1
95.18,216.91,267.84,44.16,5.22,757.64,15.42,0
23.89,76.2,151.67,38.94,35.53,1685.4,26.23,0
196.32,254.16,273.29,53.34,24.84,247.75,27.35,1
141.05,168.54,226.16,32.8,21.06,533.26,34.39,0
49.5,61.85,155.91,33.57,9.42,560.75,11.43,0
154.65,191.87,377.84,76.0,15.36,2086.28,39.59,1
64.08,152.1,264.25,51.01,15.52,1263.01,31.24,1
145.51,148.92,209.44,36.26,48.96,420.97,64.03,1
69.58,98.1,125.01,47.08,25.33,680.79,27.08,0
71.57,133.35,295.06,63.41,6.98,477.25,19.83,0
50.22,91.99,150.69,40.38,11.52,392.98,6.54,0
103.0,198.31,292.22,49.13,8.71,1704.5,24.94,0
75.16,157.27,217.89,55.75,32.68,1116.72,34.99,0
96.5,107.34,208.15,39.58,13.77,1380.86,6.19,0
19.27,63.67,221.31,44.3,28.43,795.94,27.95,0
148.61,170.91,292.09,57.91,22.39,1229.71,37.72,1
171.07,193.13,260.71,71.99,42.78,652.26,40.96,1
74.93,86.66,250.53,55.18,20.06,750.67,38.58,0
218.74,268.65,477.64,85.42,26.54,1421.86,39.28,1
189.24,285.84,424.86,52.87,38.9,443.18,60.62,1
104.39,157.52,219.33,60.29,25.37,1353.58,38.98,1
155.84,166.83,294.72,44.88,42.28,1811.86,55.12,1
132.09,172.12,310.32,51.77,36.1,384.83,32.41,1
15.11,75.21,143.59,34.54,24.29,1900.05,27.86,0
57.4,95.21,304.18,57.87,28.69,304.92,34.68,0
108.92,161.38,315.02,51.26,50.46,830.37,42.65,1
177.82,201.7,272.27,49.48,36.1,1340.49,38.77,1
22.53,57.04,118.81,50.37,47.53,1240.86,30.19,0
16.07,48.94,185.35,42.19,13.4,337.96,29.31,0
66.75,175.09,415.62,50.82,27.71,1707.88,51.9,1
10.43,27.29,62.03,46.82,47.71,2047.65,24.06,0
65.22,69.31,172.97,36.64,20.16,503.4,19.28,0
88.07,191.94,318.5,55.77,50.48,1895.51,51.13,1
33.82,79.33,236.17,46.95,9.56,1235.78,22.87,1
